team,wl,anet,aortg,adrtg,sos,osos,dsos,pace,opl,dpl,date
IND,26-13,4.94,108.518,103.62,-0.926,-0.728,-0.219,98.425,14.516,14.827,2019-01-07
TOR,30-12,4.75,112.56,107.89,-0.418,-0.215,-0.220,99.717,14.414,14.521,2019-01-07
CLE,8-32,-11.530,105.825,117.330,-0.419,0.14,-0.527,96.129,15.229,14.828,2019-01-07
CHI,10-30,-9.729,100.830,110.520,-0.316,-0.113,-0.218,98.524,14.413,14.930,2019-01-07
ATL,12-27,-8.628,103.729,112.326,-0.622,-0.216,-0.422,104.81,13.53,14.02,2019-01-07
PHX,9-32,-7.627,105.426,113.028,1.01,0.51,0.53,99.915,14.720,14.27,2019-01-07
NYK,10-30,-7.526,106.323,113.829,0.17,0.16,0.19,100.413,14.211,14.522,2019-01-07
ORL,17-23,-5.425,104.128,109.515,-1.128,-0.526,-0.628,98.026,15.128,14.315,2019-01-07
WAS,16-24,-4.424,108.516,113.027,-0.724,-0.422,-0.423,101.89,13.98,14.316,2019-01-07
DET,17-21,-3.023,106.224,109.213,-0.520,-0.423,-0.116,99.220,15.026,14.13,2019-01-07
BKN,20-22,-2.322,109.315,111.624,-1.430,-0.830,-0.629,99.121,14.823,14.210,2019-01-07
MEM,18-22,-1.320,104.527,105.86,0.53,-0.318,0.81,95.530,15.830,14.417,2019-01-07
CHA,19-20,0.319,111.29,111.021,-0.825,-0.421,-0.526,99.816,14.415,14.418,2019-01-07
MIA,19-19,0.418,107.022,106.78,-0.521,-0.424,-0.114,98.922,14.822,14.314,2019-01-07
DAL,18-22,0.517,108.517,108.011,0.45,-0.09,0.46,100.711,14.618,14.01,2019-01-07
MIN,19-21,0.716,110.312,109.616,0.010,-0.111,0.110,100.412,14.517,14.15,2019-01-07
LAL,22-19,1.115,107.520,106.47,-0.112,-0.320,0.38,103.83,13.64,14.26,2019-01-07
POR,24-17,1.214,110.610,109.314,0.09,0.07,-0.013,99.619,14.721,14.211,2019-01-07
HOU,23-16,1.513,113.72,112.225,-0.214,-0.010,-0.117,96.528,15.027,14.829,2019-01-07
PHI,26-14,1.612,110.013,108.412,-0.723,-0.319,-0.525,102.57,13.97,14.28,2019-01-07
LAC,23-16,2.011,112.57,110.519,0.54,0.15,0.44,101.88,14.09,14.312,2019-01-07
NOP,19-22,2.310,113.73,111.423,0.36,0.08,0.37,102.65,13.65,14.419,2019-01-07
UTA,20-21,3.19,108.319,105.24,0.92,0.42,0.52,100.114,14.619,14.29,2019-01-07
SAS,24-17,3.38,113.25,109.918,0.18,0.23,-0.221,98.623,15.025,14.313,2019-01-07
GSW,26-14,4.17,113.91,109.817,-0.213,-0.214,0.012,101.110,13.86,14.726,2019-01-07
DEN,26-12,4.56,112.48,107.810,-0.417,-0.317,-0.115,97.627,14.924,14.625,2019-01-07
OKC,25-14,5.33,107.221,101.91,-0.315,-0.729,0.45,103.44,13.32,14.623,2019-01-07
IND,26-13,4.95,108.518,103.62,-0.926,-0.728,-0.219,98.425,14.516,14.827,2019-01-06
DEN,26-11,5.04,112.38,107.39,-0.417,-0.317,-0.115,97.627,14.824,14.725,2019-01-06
CHI,10-30,-9.729,100.830,110.520,-0.316,-0.113,-0.218,98.524,14.413,14.930,2019-01-06
MIA,19-19,0.418,107.022,106.77,-0.521,-0.424,-0.114,98.922,14.822,14.314,2019-01-06
ATL,12-27,-8.628,103.729,112.326,-0.622,-0.216,-0.422,104.81,13.53,14.01,2019-01-06
TOR,30-12,4.76,112.56,107.810,-0.418,-0.215,-0.220,99.717,14.414,14.521,2019-01-06
GSW,26-14,4.17,113.91,109.818,-0.213,-0.214,0.012,101.110,13.86,14.726,2019-01-06
UTA,20-20,3.48,108.419,105.03,0.92,0.42,0.52,100.114,14.619,14.29,2019-01-06
SAS,23-17,3.19,112.85,109.717,0.18,0.23,-0.221,98.723,15.026,14.210,2019-01-06
LAC,23-16,2.010,112.57,110.519,0.54,0.15,0.44,101.88,14.09,14.312,2019-01-06
NOP,18-22,1.911,113.62,111.724,0.36,0.08,0.37,102.85,13.65,14.418,2019-01-06
PHI,26-14,1.612,110.013,108.412,-0.723,-0.319,-0.525,102.57,13.97,14.28,2019-01-06
HOU,22-16,1.213,113.44,112.225,-0.214,-0.010,-0.117,96.528,15.027,14.829,2019-01-06
LAL,21-19,0.815,107.520,106.78,-0.112,-0.320,0.38,103.93,13.64,14.15,2019-01-06
DAL,18-21,0.816,108.816,108.111,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-06
MIN,19-21,0.717,110.312,109.615,0.010,-0.111,0.110,100.413,14.517,14.16,2019-01-06
POR,23-17,1.014,110.511,109.514,0.09,0.07,-0.013,99.618,14.720,14.211,2019-01-06
CHA,19-20,0.319,111.29,111.021,-0.825,-0.421,-0.526,99.816,14.415,14.419,2019-01-06
BOS,23-15,5.03,110.510,105.56,-1.229,-0.525,-0.730,99.619,14.312,14.624,2019-01-06
CLE,8-32,-11.530,105.825,117.330,-0.419,0.14,-0.527,96.129,15.229,14.828,2019-01-06
MEM,18-21,-0.820,104.727,105.55,0.53,-0.318,0.81,95.530,15.830,14.417,2019-01-06
OKC,25-14,5.32,107.221,101.91,-0.315,-0.729,0.45,103.44,13.32,14.623,2019-01-06
MIL,27-11,8.01,113.43,105.44,-1.027,-0.627,-0.424,102.66,14.010,14.04,2019-01-06
PHX,9-32,-7.627,105.426,113.028,1.01,0.51,0.53,99.915,14.721,14.27,2019-01-06
NYK,10-29,-7.426,106.423,113.829,0.17,0.16,0.19,100.512,14.211,14.522,2019-01-06
ORL,17-22,-5.125,104.628,109.716,-1.128,-0.526,-0.628,97.826,15.128,14.416,2019-01-06
WAS,16-24,-4.424,108.517,113.027,-0.724,-0.422,-0.423,101.89,13.98,14.315,2019-01-06
DET,17-20,-2.823,105.924,108.713,-0.520,-0.423,-0.116,99.420,14.925,14.03,2019-01-06
BKN,20-21,-1.822,109.815,111.622,-1.430,-0.830,-0.629,98.921,14.823,14.313,2019-01-06
SAC,19-20,-1.721,109.914,111.623,-0.111,-0.112,0.011,104.52,13.11,14.520,2019-01-06
SAC,19-20,-1.721,109.914,111.622,-0.111,-0.112,0.011,104.52,13.11,14.520,2019-01-05
BKN,19-21,-2.222,109.515,111.724,-1.430,-0.830,-0.629,99.021,14.824,14.211,2019-01-05
DET,17-20,-3.123,105.924,109.013,-0.925,-0.423,-0.424,99.420,14.925,14.03,2019-01-05
WAS,15-24,-4.924,108.419,113.328,-0.723,-0.422,-0.422,101.99,13.97,14.417,2019-01-05
OKC,25-13,5.92,107.522,101.61,-0.315,-0.729,0.45,103.54,13.32,14.523,2019-01-05
ORL,17-21,-5.025,104.827,109.816,-1.128,-0.526,-0.628,97.726,15.128,14.415,2019-01-05
NYK,10-29,-7.426,106.423,113.829,0.17,0.16,0.19,100.512,14.211,14.522,2019-01-05
PHX,9-31,-7.727,105.226,112.926,1.01,0.51,0.53,99.815,14.721,14.27,2019-01-05
MIL,27-11,8.01,113.43,105.44,-1.027,-0.627,-0.423,102.66,14.010,14.04,2019-01-05
ATL,11-27,-9.428,103.529,112.927,-0.621,-0.215,-0.421,105.01,13.53,14.01,2019-01-05
CLE,8-32,-11.530,105.825,117.330,-0.419,0.14,-0.527,96.129,15.229,14.828,2019-01-05
CHI,10-29,-9.629,100.630,110.218,-0.316,-0.113,-0.217,98.524,14.413,14.930,2019-01-05
LAL,21-18,1.413,108.220,106.78,-0.112,-0.320,0.38,103.93,13.64,14.15,2019-01-05
PHI,26-14,1.612,110.013,108.412,-0.722,-0.319,-0.525,102.57,13.98,14.28,2019-01-05
MIN,18-21,0.219,110.412,110.319,0.010,-0.111,0.110,100.413,14.517,14.26,2019-01-05
CHA,18-20,0.218,111.19,110.921,-0.824,-0.421,-0.526,99.816,14.415,14.419,2019-01-05
DAL,18-21,0.817,108.816,108.111,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-05
POR,23-17,1.016,110.511,109.514,0.09,0.07,-0.013,99.618,14.720,14.213,2019-01-05
MIA,19-18,1.015,107.621,106.67,-0.520,-0.424,-0.114,99.022,14.822,14.314,2019-01-05
HOU,22-16,1.214,113.44,112.225,-0.214,-0.010,-0.116,96.528,15.027,14.829,2019-01-05
MEM,18-21,-0.820,104.728,105.55,0.53,-0.318,0.81,95.530,15.830,14.416,2019-01-05
LAC,22-16,1.811,112.76,110.920,0.54,0.15,0.44,101.98,14.09,14.212,2019-01-05
NOP,18-22,1.910,113.62,111.723,0.36,0.08,0.37,102.85,13.65,14.418,2019-01-05
SAS,23-17,3.19,112.85,109.715,0.18,0.23,-0.220,98.723,15.026,14.210,2019-01-05
UTA,20-20,3.48,108.418,105.03,0.92,0.42,0.52,100.114,14.619,14.29,2019-01-05
GSW,26-14,4.17,113.91,109.817,-0.213,-0.214,0.012,101.110,13.86,14.726,2019-01-05
TOR,29-12,4.56,112.38,107.810,-0.418,-0.216,-0.218,99.717,14.414,14.521,2019-01-05
DEN,26-11,5.05,112.37,107.39,-0.417,-0.317,-0.115,97.627,14.823,14.725,2019-01-05
BOS,23-15,5.04,110.510,105.56,-1.229,-0.525,-0.730,99.619,14.312,14.624,2019-01-05
IND,26-12,5.43,108.517,103.12,-0.926,-0.728,-0.219,98.425,14.516,14.827,2019-01-05
OKC,25-13,5.92,107.522,101.61,-0.315,-0.729,0.45,103.54,13.32,14.523,2019-01-04
IND,26-12,5.43,108.517,103.12,-0.926,-0.728,-0.219,98.425,14.516,14.827,2019-01-04
NOP,17-22,1.015,113.14,112.025,0.36,0.08,0.37,102.85,13.65,14.415,2019-01-04
MIL,27-10,8.41,113.33,104.93,-1.027,-0.627,-0.424,102.76,14.09,14.03,2019-01-04
DAL,18-20,0.916,109.116,108.211,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-04
BOS,23-15,5.04,110.510,105.56,-1.229,-0.525,-0.730,99.619,14.312,14.624,2019-01-04
DEN,25-11,4.85,112.07,107.29,-0.417,-0.316,-0.115,97.627,14.823,14.725,2019-01-04
TOR,28-12,4.16,111.98,107.810,-0.724,-0.423,-0.421,99.718,14.414,14.521,2019-01-04
NYK,10-29,-7.426,106.423,113.829,0.17,0.16,0.19,100.512,14.211,14.522,2019-01-04
POR,22-17,0.817,110.212,109.515,0.09,0.07,-0.013,99.915,14.619,14.210,2019-01-04
CHA,18-19,0.518,111.19,110.520,-0.825,-0.420,-0.526,99.916,14.415,14.419,2019-01-04
MIA,19-18,1.014,107.621,106.67,-0.520,-0.424,-0.114,99.022,14.822,14.314,2019-01-04
MEM,18-20,-0.320,105.127,105.45,0.53,-0.317,0.81,95.330,15.830,14.417,2019-01-04
SAC,19-19,-1.621,109.514,111.122,-0.111,-0.112,0.011,104.72,13.11,14.420,2019-01-04
BKN,19-21,-2.222,109.515,111.723,-1.430,-0.830,-0.629,99.021,14.824,14.212,2019-01-04
DET,17-19,-2.723,106.124,108.713,-0.519,-0.422,-0.116,99.320,14.925,14.04,2019-01-04
WAS,15-24,-4.924,108.419,113.328,-0.723,-0.421,-0.423,101.99,13.97,14.418,2019-01-04
ORL,17-21,-5.025,104.828,109.816,-1.128,-0.526,-0.628,97.726,15.128,14.416,2019-01-04
PHX,9-31,-7.727,105.226,112.926,1.01,0.51,0.53,99.817,14.721,14.28,2019-01-04
GSW,25-14,4.07,113.41,109.414,-0.213,-0.214,0.012,101.210,13.76,14.726,2019-01-04
ATL,11-27,-9.428,103.529,112.927,-0.621,-0.215,-0.422,105.01,13.53,14.01,2019-01-04
CHI,10-29,-9.629,100.630,110.217,-0.316,-0.113,-0.218,98.524,14.413,14.930,2019-01-04
CLE,8-31,-10.930,106.025,116.830,-0.418,0.14,-0.527,96.029,15.229,14.829,2019-01-04
LAL,21-18,1.413,108.220,106.78,-0.112,-0.319,0.38,103.93,13.64,14.15,2019-01-04
HOU,22-15,1.512,113.42,111.924,-0.214,-0.010,-0.117,96.728,15.027,14.828,2019-01-04
PHI,25-14,1.511,110.213,108.712,-0.722,-0.318,-0.525,102.57,13.98,14.27,2019-01-04
LAC,22-16,1.810,112.76,110.921,0.54,0.15,0.44,101.98,14.010,14.213,2019-01-04
SAS,22-17,2.79,113.05,110.318,0.18,0.23,-0.220,98.723,15.026,14.211,2019-01-04
UTA,19-20,3.48,108.418,105.14,0.92,0.42,0.52,100.014,14.620,14.29,2019-01-04
MIN,18-21,0.219,110.411,110.319,0.010,-0.111,0.110,100.413,14.517,14.26,2019-01-04
IND,25-12,5.53,108.418,102.82,-0.926,-0.728,-0.219,98.525,14.516,14.727,2019-01-03
MIL,26-10,7.81,112.95,105.13,-1.027,-0.627,-0.424,102.47,14.010,14.14,2019-01-03
POR,22-16,0.917,110.411,109.515,0.09,0.07,-0.013,99.817,14.619,14.213,2019-01-03
DEN,25-11,4.84,112.07,107.29,-0.417,-0.316,-0.115,97.626,14.823,14.725,2019-01-03
BOS,22-15,4.65,110.410,105.86,-1.229,-0.525,-0.730,99.619,14.313,14.624,2019-01-03
TOR,28-12,4.16,111.98,107.810,-0.724,-0.423,-0.421,99.718,14.414,14.521,2019-01-03
GSW,25-14,4.07,113.41,109.414,-0.213,-0.214,0.012,101.210,13.76,14.726,2019-01-03
UTA,18-20,2.78,108.020,105.34,0.92,0.42,0.52,100.114,14.620,14.17,2019-01-03
SAS,22-17,2.79,113.04,110.318,0.18,0.23,-0.220,98.724,15.026,14.210,2019-01-03
LAL,21-17,1.610,108.319,106.78,-0.112,-0.319,0.38,103.83,13.64,14.16,2019-01-03
LAC,21-16,1.611,112.46,110.821,0.54,0.15,0.44,102.08,14.09,14.211,2019-01-03
PHI,25-14,1.512,110.213,108.712,-0.722,-0.318,-0.525,102.56,13.98,14.29,2019-01-03
HOU,22-15,1.513,113.42,111.923,-0.214,-0.010,-0.117,96.728,15.027,14.828,2019-01-03
DAL,18-19,1.514,109.615,108.111,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-03
NOP,17-22,1.015,113.13,112.024,0.36,0.08,0.37,102.85,13.65,14.414,2019-01-03
MIA,18-18,0.916,107.521,106.67,-0.520,-0.424,-0.114,98.922,14.822,14.415,2019-01-03
CHA,18-19,0.518,111.19,110.520,-0.825,-0.420,-0.526,99.916,14.415,14.419,2019-01-03
MEM,18-19,-0.019,105.426,105.45,0.53,-0.317,0.81,95.230,15.930,14.418,2019-01-03
MIN,17-21,-0.320,110.212,110.519,0.010,-0.111,0.110,100.412,14.617,14.15,2019-01-03
SAC,19-19,-1.621,109.516,111.122,-0.111,-0.112,0.011,104.72,13.11,14.420,2019-01-03
BKN,18-21,-2.522,109.614,112.125,-1.430,-0.830,-0.629,99.021,14.924,14.212,2019-01-03
DET,17-19,-2.723,106.125,108.713,-0.519,-0.422,-0.116,99.320,14.925,14.03,2019-01-03
ORL,17-20,-4.724,104.928,109.516,-1.128,-0.526,-0.628,97.627,15.128,14.417,2019-01-03
WAS,15-23,-4.925,108.517,113.428,-0.723,-0.421,-0.423,101.89,13.97,14.416,2019-01-03
PHX,9-30,-7.726,105.027,112.727,1.01,0.51,0.53,99.915,14.721,14.18,2019-01-03
NYK,9-29,-7.827,106.323,114.129,0.17,0.16,0.19,100.213,14.211,14.523,2019-01-03
ATL,11-26,-8.928,103.629,112.526,-0.621,-0.215,-0.422,104.81,13.53,14.01,2019-01-03
CHI,10-28,-9.729,100.330,110.117,-0.316,-0.113,-0.218,98.723,14.312,14.930,2019-01-03
CLE,8-30,-10.430,106.224,116.630,-0.418,0.14,-0.527,96.029,15.129,14.829,2019-01-03
OKC,24-13,6.02,107.522,101.51,-0.315,-0.729,0.45,103.54,13.32,14.522,2019-01-03
BOS,22-15,4.65,110.410,105.86,-1.228,-0.525,-0.729,99.619,14.313,14.624,2019-01-02
OKC,24-13,6.02,107.522,101.51,-0.315,-0.729,0.45,103.54,13.32,14.522,2019-01-02
MIL,26-10,7.81,112.94,105.13,-1.026,-0.627,-0.423,102.47,14.010,14.14,2019-01-02
DEN,24-11,4.84,111.88,106.99,-0.417,-0.316,-0.115,97.627,14.823,14.725,2019-01-02
CLE,8-30,-10.430,106.224,116.630,-0.418,0.14,-0.526,96.029,15.129,14.829,2019-01-02
GSW,25-13,4.26,113.21,109.014,-0.213,-0.214,0.012,101.310,13.76,14.726,2019-01-02
UTA,18-20,2.78,108.020,105.34,0.92,0.42,0.52,100.114,14.620,14.17,2019-01-02
SAS,21-17,2.39,112.65,110.318,0.18,0.23,-0.220,98.724,15.026,14.210,2019-01-02
LAL,21-17,1.610,108.319,106.78,-0.112,-0.319,0.38,103.83,13.64,14.16,2019-01-02
LAC,21-16,1.611,112.46,110.821,0.54,0.15,0.44,102.08,14.09,14.211,2019-01-02
PHI,25-14,1.512,110.213,108.712,-0.722,-0.318,-0.524,102.56,13.98,14.29,2019-01-02
DAL,18-19,1.513,109.615,108.111,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-02
HOU,21-15,1.514,113.03,111.623,-0.214,-0.010,-0.117,96.628,15.027,14.828,2019-01-02
NOP,17-22,1.015,113.12,112.024,0.36,0.08,0.37,102.85,13.65,14.414,2019-01-02
POR,22-16,0.917,110.411,109.515,0.09,0.07,-0.013,99.817,14.619,14.213,2019-01-02
CHA,18-19,0.518,111.19,110.520,-0.824,-0.420,-0.525,99.916,14.415,14.420,2019-01-02
MEM,18-19,-0.019,105.426,105.45,0.53,-0.317,0.81,95.230,15.930,14.418,2019-01-02
MIN,17-21,-0.320,110.212,110.519,0.010,-0.111,0.110,100.412,14.617,14.15,2019-01-02
SAC,19-18,-1.621,109.416,110.922,-0.111,-0.112,0.011,104.81,13.11,14.419,2019-01-02
BKN,18-21,-2.522,109.614,112.125,-1.430,-0.830,-0.628,99.021,14.924,14.212,2019-01-02
DET,17-19,-2.723,106.125,108.713,-0.519,-0.422,-0.116,99.320,14.925,14.03,2019-01-02
ORL,17-20,-4.724,104.928,109.516,-1.127,-0.526,-0.627,97.626,15.128,14.417,2019-01-02
WAS,15-23,-4.925,108.517,113.428,-0.723,-0.421,-0.422,101.89,13.97,14.416,2019-01-02
PHX,9-30,-7.726,105.027,112.727,1.01,0.51,0.53,99.915,14.721,14.18,2019-01-02
NYK,9-29,-7.827,106.323,114.129,0.17,0.16,0.19,100.213,14.211,14.523,2019-01-02
ATL,11-26,-8.928,103.629,112.526,-0.621,-0.215,-0.421,104.82,13.53,14.01,2019-01-02
IND,25-12,5.53,108.418,102.82,-0.925,-0.728,-0.219,98.525,14.516,14.727,2019-01-02
TOR,28-11,4.17,112.07,107.910,-1.329,-0.423,-0.930,99.718,14.414,14.421,2019-01-02
MIA,18-18,0.916,107.521,106.67,-0.520,-0.424,-0.114,98.922,14.822,14.415,2019-01-02
CHI,10-28,-9.729,100.330,110.117,-0.316,-0.113,-0.218,98.723,14.312,14.930,2019-01-02
DET,16-19,-2.923,106.025,108.813,-0.519,-0.422,-0.116,99.520,14.925,14.03,2019-01-01
OKC,23-13,6.02,107.821,101.81,-0.315,-0.729,0.45,103.34,13.42,14.523,2019-01-01
TOR,28-11,4.17,112.07,107.910,-1.329,-0.423,-0.930,99.717,14.414,14.421,2019-01-01
GSW,25-13,4.26,113.21,109.014,-0.213,-0.214,0.012,101.310,13.76,14.726,2019-01-01
BOS,21-15,4.45,110.212,105.86,-1.228,-0.525,-0.729,99.718,14.313,14.624,2019-01-01
BKN,17-21,-2.622,109.116,111.725,-1.430,-0.830,-0.628,99.022,14.824,14.313,2019-01-01
IND,25-12,5.53,108.418,102.82,-0.925,-0.728,-0.219,98.525,14.516,14.727,2019-01-01
ORL,16-20,-5.525,104.428,110.017,-1.127,-0.526,-0.627,97.826,15.128,14.418,2019-01-01
WAS,14-23,-5.424,108.319,113.728,-0.723,-0.421,-0.422,101.99,13.97,14.417,2019-01-01
NYK,9-29,-7.826,106.323,114.129,0.17,0.16,0.19,100.213,14.211,14.522,2019-01-01
PHX,9-29,-7.827,104.727,112.527,1.01,0.51,0.53,99.619,14.721,14.29,2019-01-01
ATL,11-25,-8.728,103.729,112.426,-0.621,-0.215,-0.421,105.01,13.53,14.01,2019-01-01
CHI,10-27,-9.229,100.530,109.816,-0.316,-0.113,-0.218,98.923,14.312,14.830,2019-01-01
CLE,8-29,-10.030,106.324,116.330,-0.418,0.14,-0.526,96.229,15.129,14.829,2019-01-01
MIL,26-10,7.81,112.93,105.13,-1.026,-0.627,-0.423,102.46,14.010,14.14,2019-01-01
UTA,18-20,2.78,108.020,105.35,0.92,0.42,0.52,100.114,14.620,14.16,2019-01-01
DEN,24-11,4.84,111.89,106.98,-0.417,-0.316,-0.115,97.627,14.823,14.725,2019-01-01
SAS,21-17,2.39,112.65,110.320,0.18,0.23,-0.220,98.724,15.026,14.210,2019-01-01
POR,22-16,0.916,110.410,109.515,0.09,0.07,-0.013,99.816,14.619,14.212,2019-01-01
SAC,19-18,-1.621,109.414,110.922,-0.111,-0.112,0.011,104.82,13.11,14.420,2019-01-01
LAL,21-16,1.910,108.817,106.99,-0.112,-0.319,0.38,103.63,13.64,14.28,2019-01-01
MIN,17-20,0.120,110.311,110.219,0.010,-0.111,0.110,100.512,14.517,14.15,2019-01-01
MEM,18-18,0.119,105.426,105.34,0.53,-0.317,0.81,95.330,15.930,14.316,2019-01-01
MIA,17-18,0.318,107.022,106.77,-0.520,-0.424,-0.114,99.121,14.722,14.315,2019-01-01
DAL,17-19,0.517,109.215,108.812,0.45,-0.09,0.46,100.611,14.618,14.02,2019-01-01
NOP,17-21,1.215,112.84,111.624,0.36,0.08,0.37,103.05,13.65,14.314,2019-01-01
HOU,21-15,1.514,113.02,111.623,-0.214,-0.010,-0.117,96.628,15.027,14.828,2019-01-01
PHI,24-14,1.513,109.913,108.411,-0.722,-0.318,-0.524,102.37,14.08,14.27,2019-01-01
CHA,18-18,1.612,111.88,110.218,-0.824,-0.420,-0.525,99.815,14.515,14.419,2019-01-01
LAC,21-16,1.611,112.46,110.821,0.54,0.15,0.44,102.08,14.09,14.211,2019-01-01
WAS,14-23,-5.424,108.319,113.728,-0.723,-0.421,-0.422,101.98,13.97,14.417,2018-12-31
MIA,17-18,0.318,107.022,106.78,-0.520,-0.423,-0.114,99.121,14.722,14.315,2018-12-31
MIN,17-20,0.120,110.311,110.219,0.010,-0.111,0.110,100.512,14.517,14.15,2018-12-31
SAC,19-17,-1.421,109.814,111.222,-0.111,-0.112,0.011,104.92,13.11,14.419,2018-12-31
DET,16-18,-2.322,106.124,108.411,-0.519,-0.422,-0.116,99.719,14.925,14.03,2018-12-31
BKN,17-21,-2.623,109.116,111.725,-1.430,-0.830,-0.628,99.022,14.824,14.312,2018-12-31
CLE,8-29,-10.030,106.323,116.330,-0.418,0.14,-0.526,96.229,15.129,14.829,2018-12-31
ORL,16-20,-5.525,104.428,110.017,-1.127,-0.526,-0.627,97.826,15.128,14.418,2018-12-31
PHX,9-29,-7.826,104.727,112.527,1.01,0.51,0.53,99.620,14.721,14.28,2018-12-31
NYK,9-28,-7.927,106.125,113.929,0.17,0.16,0.19,100.413,14.211,14.522,2018-12-31
ATL,11-25,-8.728,103.729,112.426,-0.621,-0.215,-0.421,105.01,13.53,14.01,2018-12-31
CHI,10-27,-9.229,100.530,109.815,-0.316,-0.113,-0.218,98.923,14.312,14.830,2018-12-31
POR,21-16,0.716,110.710,109.916,0.09,0.07,-0.013,99.716,14.619,14.313,2018-12-31
DAL,17-19,0.517,109.215,108.813,0.45,-0.09,0.46,100.611,14.618,14.02,2018-12-31
MEM,18-18,0.119,105.426,105.35,0.53,-0.317,0.81,95.330,15.930,14.316,2018-12-31
NOP,17-21,1.215,112.83,111.624,0.36,0.08,0.37,103.05,13.65,14.314,2018-12-31
TOR,27-11,4.27,111.78,107.510,-1.229,-0.424,-0.830,99.717,14.414,14.421,2018-12-31
PHI,23-14,1.414,109.913,108.512,-0.722,-0.318,-0.524,102.17,14.08,14.211,2018-12-31
OKC,23-13,6.02,107.821,101.81,-0.315,-0.729,0.45,103.34,13.42,14.523,2018-12-31
IND,25-12,5.53,108.418,102.82,-0.925,-0.728,-0.219,98.525,14.516,14.727,2018-12-31
DEN,23-11,4.84,111.59,106.77,-0.417,-0.316,-0.115,97.727,14.823,14.725,2018-12-31
BOS,21-15,4.45,110.212,105.86,-1.228,-0.525,-0.729,99.718,14.313,14.624,2018-12-31
GSW,25-13,4.26,113.21,109.014,-0.213,-0.214,0.012,101.310,13.76,14.726,2018-12-31
MIL,25-10,7.41,112.65,105.14,-1.026,-0.627,-0.423,102.66,14.09,14.14,2018-12-31
UTA,18-19,2.98,107.920,104.93,0.92,0.42,0.52,100.114,14.620,14.16,2018-12-31
LAL,21-16,1.910,108.817,106.99,-0.112,-0.319,0.38,103.63,13.64,14.27,2018-12-31
LAC,21-15,1.811,112.64,110.821,0.54,0.15,0.44,101.89,14.110,14.29,2018-12-31
CHA,18-18,1.612,111.87,110.218,-0.824,-0.420,-0.525,99.815,14.515,14.420,2018-12-31
SAS,21-17,2.39,112.66,110.320,0.18,0.23,-0.220,98.724,15.026,14.210,2018-12-31
HOU,21-15,1.513,113.02,111.623,-0.214,-0.010,-0.117,96.628,15.027,14.828,2018-12-31
BKN,17-21,-2.623,109.116,111.725,-1.430,-0.830,-0.628,99.022,14.824,14.312,2018-12-30
MEM,18-17,0.418,105.426,105.04,0.53,-0.317,0.81,95.230,15.930,14.315,2018-12-30
MIN,17-19,0.319,110.111,109.817,0.010,-0.111,0.110,100.611,14.517,14.15,2018-12-30
MIA,17-18,0.320,107.022,106.78,-0.520,-0.423,-0.114,99.121,14.721,14.316,2018-12-30
SAC,19-17,-1.421,109.815,111.222,-0.111,-0.112,0.011,104.92,13.11,14.419,2018-12-30
DET,16-18,-2.322,106.124,108.411,-0.519,-0.422,-0.116,99.719,14.925,14.02,2018-12-30
WAS,14-23,-5.425,108.318,113.728,-0.723,-0.421,-0.422,101.98,13.97,14.417,2018-12-30
ORL,16-19,-4.924,104.628,109.515,-1.127,-0.526,-0.627,97.726,15.128,14.420,2018-12-30
PHX,9-28,-7.426,104.727,112.126,1.01,0.51,0.53,99.520,14.822,14.29,2018-12-30
NYK,9-28,-7.927,106.125,113.929,0.17,0.16,0.19,100.412,14.211,14.522,2018-12-30
ATL,11-24,-8.728,103.629,112.227,-0.621,-0.215,-0.421,105.21,13.43,13.91,2018-12-30
NOP,16-21,0.916,112.55,111.623,0.36,0.08,0.37,103.14,13.65,14.314,2018-12-30
POR,21-16,0.717,110.710,109.918,0.09,0.07,-0.013,99.716,14.618,14.313,2018-12-30
SAS,20-17,2.29,112.36,110.219,0.18,0.23,-0.220,98.724,15.026,14.28,2018-12-30
CHA,17-18,1.015,111.59,110.520,-0.824,-0.420,-0.525,99.915,14.515,14.418,2018-12-30
DAL,17-18,1.114,109.814,108.813,0.45,-0.09,0.46,100.313,14.620,14.14,2018-12-30
HOU,20-15,1.213,112.91,111.724,-0.214,-0.010,-0.117,96.628,15.027,14.829,2018-12-30
PHI,23-14,1.412,109.913,108.512,-0.722,-0.318,-0.524,102.17,14.08,14.211,2018-12-30
LAC,21-15,1.811,112.63,110.821,0.54,0.15,0.44,101.89,14.110,14.210,2018-12-30
LAL,21-16,1.910,108.817,106.99,-0.112,-0.319,0.38,103.63,13.64,14.27,2018-12-30
CLE,8-29,-10.030,106.323,116.330,-0.418,0.14,-0.526,96.229,15.129,14.828,2018-12-30
UTA,18-19,2.98,107.920,104.93,0.92,0.42,0.52,100.114,14.619,14.16,2018-12-30
GSW,24-13,3.77,112.82,109.114,-0.213,-0.214,0.012,101.210,13.76,14.726,2018-12-30
TOR,27-11,4.26,111.77,107.510,-1.229,-0.424,-0.830,99.718,14.414,14.421,2018-12-30
BOS,21-14,4.85,110.112,105.36,-1.228,-0.525,-0.729,99.717,14.312,14.624,2018-12-30
