TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,PLAYER_SLUG,POSITION,HEIGHT,WEIGHT,AGE,EXPERIENCE
1610612754,IND,1627747,Caris LeVert,caris-levert,G,6-6,205,26.0,4
1610612754,IND,203087,Jeremy Lamb,jeremy-lamb,G-F,6-5,180,28.0,8
1610612754,IND,1626167,Myles Turner,myles-turner,C-F,6-11,250,25.0,5
1610612754,IND,1629048,Goga Bitadze,goga-bitadze,C-F,6-11,250,21.0,1
1610612750,MIN,1626156,D'Angelo Russell,dangelo-russell,G,6-4,193,25.0,5
1610612750,MIN,1630162,Anthony Edwards,anthony-edwards,G,6-4,225,19.0,R
1610612750,MIN,1630183,Jaden McDaniels,jaden-mcdaniels,F,6-9,185,20.0,R
1610612750,MIN,1629669,Jaylen Nowell,jaylen-nowell,G,6-4,201,21.0,1
1610612750,MIN,1627736,Malik Beasley,malik-beasley,G,6-4,187,24.0,4
1610612750,MIN,1629162,Jordan McLaughlin,jordan-mclaughlin,G,5-11,185,24.0,1
1610612750,MIN,1629020,Jarred Vanderbilt,jarred-vanderbilt,F,6-9,214,21.0,2
1610612750,MIN,201937,Ricky Rubio,ricky-rubio,G,6-3,190,30.0,9
1610612750,MIN,1627774,Jake Layman,jake-layman,F,6-8,209,27.0,4
1610612750,MIN,1629675,Naz Reid,naz-reid,C-F,6-9,264,21.0,1
1610612750,MIN,202334,Ed Davis,ed-davis,C-F,6-9,218,31.0,10
1610612750,MIN,1629006,Josh Okogie,josh-okogie,G,6-4,213,22.0,2
1610612750,MIN,1629633,Jarrett Culver,jarrett-culver,G-F,6-6,195,22.0,1
1610612750,MIN,1626157,Karl-Anthony Towns,karl-anthony-towns,C-F,6-11,248,25.0,5
1610612750,MIN,1627823,Juancho Hernangomez,juancho-hernangomez,F,6-9,214,25.0,4
1610612744,GSW,1627814,Damion Lee,damion-lee,G-F,6-5,210,28.0,3
1610612744,GSW,1630185,Nico Mannion,nico-mannion,G,6-2,190,20.0,R
1610612744,GSW,1629673,Jordan Poole,jordan-poole,G,6-4,194,21.0,1
1610612744,GSW,1626172,Kevon Looney,kevon-looney,F,6-9,222,25.0,5
1610612744,GSW,1629346,Alen Smailagic,alen-smailagic,F,6-10,215,20.0,1
1610612744,GSW,1629672,Eric Paschall,eric-paschall,F,6-6,255,24.0,1
1610612744,GSW,202691,Klay Thompson,klay-thompson,G,6-6,215,31.0,8
1610612744,GSW,1626162,Kelly Oubre Jr.,kelly-oubre-jr,F-G,6-7,203,25.0,5
1610612744,GSW,1628539,Mychal Mulder,mychal-mulder,G,6-3,184,26.0,1
1610612744,GSW,203952,Andrew Wiggins,andrew-wiggins,F,6-7,197,26.0,6
1610612744,GSW,203110,Draymond Green,draymond-green,F,6-6,230,31.0,8
1610612744,GSW,203145,Kent Bazemore,kent-bazemore,G-F,6-4,195,31.0,8
1610612744,GSW,201939,Stephen Curry,stephen-curry,G,6-3,185,33.0,11
1610612744,GSW,1630164,James Wiseman,james-wiseman,C,7-0,240,19.0,R
1610612744,GSW,1629308,Juan Toscano-Anderson,juan-toscano-anderson,F,6-6,209,27.0,1
1610612745,HOU,1628425,Sterling Brown,sterling-brown,G-F,6-5,219,26.0,3
1610612745,HOU,1628391,D.J. Wilson,dj-wilson,F,6-10,231,25.0,3
1610612745,HOU,202322,John Wall,john-wall,G,6-3,210,30.0,9
1610612745,HOU,1628021,David Nwaba,david-nwaba,G-F,6-5,219,28.0,4
