TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
NOP,is-home,PHINO,is-expected,Very Likely To Play,Zion Williamson,Z. Williamson,PF,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,is-expected,Very Likely To Play,Steven Adams,Steven Adams,C,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,,Toss Up To Play,Lonzo Ball,Lonzo Ball,G,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,,Toss Up To Play,Brandon Ingram,B. Ingram,F,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,,Toss Up To Play,Kira Lewis,Kira Lewis,G,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,,Very Unlikely To Play,Nickeil Alexander-Walker,N. Alexander-Walker,G,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,,Very Unlikely To Play,Josh Hart,Josh Hart,G,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,is-expected,Very Likely To Play,Dejounte Murray,D. Murray,PG,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,is-expected,Very Likely To Play,Derrick White,Derrick White,SG,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,is-expected,Very Likely To Play,DeMar DeRozan,DeMar DeRozan,SF,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,is-expected,Very Likely To Play,Keldon Johnson,K. Johnson,PF,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,is-expected,Very Likely To Play,Jakob Poeltl,Jakob Poeltl,C,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,,Toss Up To Play,Gorgui Dieng,G. Dieng,C,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,,Toss Up To Play,Lonnie Walker,L. Walker,G,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,,Very Unlikely To Play,Keita Bates-Diop,K. Bates-Diop,F,2021-04-09 10:03:27.857055
SAS,is-visit,SADEN,,Very Unlikely To Play,Trey Lyles,Trey Lyles,F,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,is-expected,Toss Up To Play,Jamal Murray,J. Murray,PG,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,is-expected,Very Likely To Play,Will Barton,Will Barton,SG,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,is-expected,Very Likely To Play,Aaron Gordon,Aaron Gordon,SF,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,is-expected,Very Likely To Play,Michael Porter,M. Porter,PF,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,is-expected,Very Likely To Play,Nikola Jokic,Nikola Jokic,C,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,,Very Likely To Play,Shaquille Harrison,S. Harrison,F,2021-04-09 10:03:27.857055
DEN,is-home,SADEN,,Toss Up To Play,Jamal Murray,J. Murray,G,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,is-expected,Very Likely To Play,Devonte' Graham,D. Graham,PG,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,is-expected,Very Likely To Play,Terry Rozier,Terry Rozier,SG,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,is-expected,Very Likely To Play,Jalen McDaniels,J. McDaniels,SF,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,is-expected,Very Likely To Play,Miles Bridges,Miles Bridges,PF,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,is-expected,Very Likely To Play,P.J. Washington,P. Washington,C,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,,Very Unlikely To Play,LaMelo Ball,L. Ball,G,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,,Very Unlikely To Play,Gordon Hayward,G. Hayward,F,2021-04-09 10:03:27.857055
CHA,is-visit,CHAMIL,,Very Unlikely To Play,Malik Monk,Malik Monk,G,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,is-expected,Very Likely To Play,Jrue Holiday,Jrue Holiday,PG,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,is-expected,Very Likely To Play,Donte DiVincenzo,D. DiVincenzo,SG,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,is-expected,Very Likely To Play,Khris Middleton,K. Middleton,SF,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,is-expected,Toss Up To Play,Giannis Antetokounmpo,G. Antetokounmpo,PF,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,is-expected,Very Likely To Play,Brook Lopez,Brook Lopez,C,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,,Very Likely To Play,P.J. Tucker,P. Tucker,F,2021-04-09 10:03:27.857055
MIL,is-home,CHAMIL,,Toss Up To Play,Giannis Antetokounmpo,G. Antetokounmpo,F,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,is-expected,Very Likely To Play,Russell Westbrook,R. Westbrook,PG,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,is-expected,Likely To Play,Bradley Beal,B. Beal,SG,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,is-expected,Very Likely To Play,Deni Avdija,Deni Avdija,SF,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,is-expected,Very Likely To Play,Rui Hachimura,Rui Hachimura,PF,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,is-expected,Very Likely To Play,Alex Len,Alex Len,C,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,,Very Likely To Play,Jordan Bell,J. Bell,C,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,,Likely To Play,Bradley Beal,B. Beal,G,2021-04-09 10:03:27.857055
WAS,is-visit,WASGS,,Very Unlikely To Play,Daniel Gafford,D. Gafford,C,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,is-expected,Very Likely To Play,Stephen Curry,Stephen Curry,PG,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,is-expected,Very Likely To Play,Andrew Wiggins,A. Wiggins,SG,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,is-expected,Very Likely To Play,Kelly Oubre,Kelly Oubre,SF,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,is-expected,Very Likely To Play,Draymond Green,D. Green,PF,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,is-expected,Very Likely To Play,James Wiseman,James Wiseman,C,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,,Very Likely To Play,Gary Payton,G. Payton,G,2021-04-09 10:03:27.857055
GSW,is-home,WASGS,,Very Unlikely To Play,Eric Paschall,E. Paschall,F,2021-04-09 10:03:27.857055
