,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
262,0021700277,359,2,1,3,8:29 PM,8:04,MISS Carter-Williams 28' 3PT Jump Shot,,,,,4.0,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
263,0021700277,360,4,0,3,8:29 PM,8:03,,,Green REBOUND (Off:0 Def:4),,,5.0,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
264,0021700277,361,1,1,3,8:29 PM,7:45,,,Green  3PT Jump Shot (7 PTS) (Mills 1 AST),55 - 42,-13,5.0,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,5,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,1
265,0021700277,363,5,1,3,8:29 PM,7:37,Carter-Williams Bad Pass Turnover (P3.T8),,Anderson STEAL (3 STL),,,4.0,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,5,203937,Kyle Anderson,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,1
266,0021700277,365,1,7,3,8:29 PM,7:34,,,Anderson 1' Dunk (8 PTS),57 - 42,-15,5.0,203937,Kyle Anderson,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
267,0021700277,366,9,1,3,8:30 PM,7:20,HORNETS Timeout: Regular (Full 5 Short 0),,,,,2.0,1610612766,,,,,,0,0,,,,,,0,0,,,,,,0
268,0021700277,367,2,3,3,8:33 PM,7:06,MISS Howard 2' Hook Shot,,,,,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
269,0021700277,368,4,0,3,8:33 PM,7:04,,,Gasol REBOUND (Off:1 Def:6),,,5.0,2200,Pau Gasol,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
270,0021700277,369,6,2,3,8:33 PM,6:56,Carter-Williams S.FOUL (P1.T2) (M.Lindsay),,,,,4.0,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,5,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,1,0,,,,,,1
271,0021700277,371,18,0,3,8:33 PM,6:56,,,,57 - 42,-15,0.0,369,Charlie Ward,,,,,0,0,,,,,,1,0,,,,,,0
