player_id,name,position,team_id,team_name,abbrev
608032,Carlos Estevez,P,115,Colorado Rockies,COL
608566,German Marquez,P,115,Colorado Rockies,COL
620445,Jose Mujica,P,115,Colorado Rockies,COL
622075,Yency Almonte,P,115,Colorado Rockies,COL
622608,Antonio Senzatela,P,115,Colorado Rockies,COL
624513,Dom Nunez,C,115,Colorado Rockies,COL
641386,Ben Bowden,P,115,Colorado Rockies,COL
641658,Garrett Hampson,CF,115,Colorado Rockies,COL
641755,Tyler Kinley,P,115,Colorado Rockies,COL
641857,Ryan McMahon,2B,115,Colorado Rockies,COL
656458,Lucas Gilbreath,P,115,Colorado Rockies,COL
658069,Joshua Fuentes,3B,115,Colorado Rockies,COL
663898,Brendan Rodgers,2B,115,Colorado Rockies,COL
664875,Justin Lawrence,P,115,Colorado Rockies,COL
408234,Miguel Cabrera,1B,116,Detroit Tigers,DET
503449,Wily Peralta,P,116,Detroit Tigers,DET
541640,Erasmo Ramirez,P,116,Detroit Tigers,DET
542585,Jose Cisnero,P,116,Detroit Tigers,DET
543257,Robbie Grossman,LF,116,Detroit Tigers,DET
570632,Jose Urena,P,116,Detroit Tigers,DET
570731,Jonathan Schoop,1B,116,Detroit Tigers,DET
571656,Buck Farmer,P,116,Detroit Tigers,DET
596057,Daniel Norris,P,116,Detroit Tigers,DET
600869,Jeimer Candelario,3B,116,Detroit Tigers,DET
605612,Harold Castro,2B,116,Detroit Tigers,DET
606992,Eric Haase,C,116,Detroit Tigers,DET
608335,Kyle Funkhouser,P,116,Detroit Tigers,DET
608577,Nomar Mazara,RF,116,Detroit Tigers,DET
641302,Tyler Alexander,P,116,Detroit Tigers,DET
641729,Joe Jimenez,P,116,Detroit Tigers,DET
642397,Gregory Soto,P,116,Detroit Tigers,DET
650489,Willi Castro,2B,116,Detroit Tigers,DET
650530,Bryan Garcia,P,116,Detroit Tigers,DET
663554,Casey Mize,P,116,Detroit Tigers,DET
663662,Daz Cameron,CF,116,Detroit Tigers,DET
666159,Matt Manning,P,116,Detroit Tigers,DET
668670,Jake Rogers,C,116,Detroit Tigers,DET
668731,Akil Baddoo,LF,116,Detroit Tigers,DET
669373,Tarik Skubal,P,116,Detroit Tigers,DET
670097,Zack Short,SS,116,Detroit Tigers,DET
425844,Zack Greinke,P,117,Houston Astros,HOU
488726,Michael Brantley,LF,117,Houston Astros,HOU
488771,Jason Castro,C,117,Houston Astros,HOU
493329,Yuli Gurriel,1B,117,Houston Astros,HOU
514888,Jose Altuve,2B,117,Houston Astros,HOU
519151,Ryan Pressly,P,117,Houston Astros,HOU
543606,Jake Odorizzi,P,117,Houston Astros,HOU
548384,Brooks Raley,P,117,Houston Astros,HOU
592773,Ryne Stanek,P,117,Houston Astros,HOU
596117,Garrett Stubbs,C,117,Houston Astros,HOU
596825,Robel Garcia,2B,117,Houston Astros,HOU
621043,Carlos Correa,SS,117,Houston Astros,HOU
621121,Lance McCullers Jr.,P,117,Houston Astros,HOU
621248,Ralph Garza Jr.,P,117,Houston Astros,HOU
622100,Taylor Jones,1B,117,Houston Astros,HOU
642130,Blake Taylor,P,117,Houston Astros,HOU
647351,Abraham Toro,3B,117,Houston Astros,HOU
656232,Brandon Bielak,P,117,Houston Astros,HOU
656981,Peter Solomon,P,117,Houston Astros,HOU
663656,Kyle Tucker,RF,117,Houston Astros,HOU
664285,Framber Valdez,P,117,Houston Astros,HOU
664299,Cristian Javier,P,117,Houston Astros,HOU
664702,Myles Straw,CF,117,Houston Astros,HOU
668687,Andre Scrubb,P,117,Houston Astros,HOU
676801,Chas McCormick,LF,117,Houston Astros,HOU
677651,Luis Garcia,P,117,Houston Astros,HOU
429722,Ervin Santana,P,118,Kansas City Royals,KC
461872,Anthony Swarzak,P,118,Kansas City Royals,KC
467793,Carlos Santana,1B,118,Kansas City Royals,KC
501985,Mike Minor,P,118,Kansas City Royals,KC
