TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
ATL,is-visit,ATLLAC,is-expected,Very Likely To Play,Kevin Huerter,Kevin Huerter,SG,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,is-expected,Very Likely To Play,Tony Snell,Tony Snell,SF,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,is-expected,Very Likely To Play,John Collins,John Collins,PF,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,is-expected,Very Likely To Play,Clint Capela,Clint Capela,C,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,,Likely To Play,Trae Young,Trae Young,G,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,,Toss Up To Play,De'Andre Hunter,D. Hunter,F,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,,Very Unlikely To Play,Kris Dunn,Kris Dunn,G,2021-03-22 09:21:10.189752
ATL,is-visit,ATLLAC,,Very Unlikely To Play,Cam Reddish,C. Reddish,F,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,is-expected,Very Likely To Play,Reggie Jackson,R. Jackson,PG,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,is-expected,Very Likely To Play,Paul George,Paul George,SG,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,is-expected,Very Likely To Play,Kawhi Leonard,Kawhi Leonard,SF,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,is-expected,Very Likely To Play,Marcus Morris,Marcus Morris,PF,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,is-expected,Very Likely To Play,Ivica Zubac,Ivica Zubac,C,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,,Very Unlikely To Play,Patrick Beverley,P. Beverley,G,2021-03-22 09:21:10.189752
LAC,is-home,ATLLAC,,Very Unlikely To Play,Serge Ibaka,S. Ibaka,C,2021-03-22 09:21:10.189752
