TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION
SAC,is-visit,SACPHI,Very Likely To Play,Harrison Barnes,H. Barnes,PF
SAC,is-visit,SACPHI,Very Likely To Play,Richaun Holmes,R. Holmes,C
SAC,is-visit,SACPHI,Very Unlikely To Play,Marvin Bagley,M. Bagley,F
SAC,is-visit,SACPHI,Very Unlikely To Play,Chimezie Metu,C. Metu,C
PHI,is-home,SACPHI,Very Likely To Play,Ben Simmons,Ben Simmons,PG
PHI,is-home,SACPHI,Very Likely To Play,Furkan Korkmaz,F. Korkmaz,SG
PHI,is-home,SACPHI,Very Likely To Play,Danny Green,Danny Green,SF
PHI,is-home,SACPHI,Very Likely To Play,Tobias Harris,Tobias Harris,PF
PHI,is-home,SACPHI,Very Likely To Play,Tony Bradley,Tony Bradley,C
PHI,is-home,SACPHI,Very Unlikely To Play,Seth Curry,Seth Curry,G
PHI,is-home,SACPHI,Very Unlikely To Play,Joel Embiid,J. Embiid,C
GS,is-visit,GSMEM,Unlikely To Play,Stephen Curry,S. Curry,PG
GS,is-visit,GSMEM,Very Likely To Play,Andrew Wiggins,A. Wiggins,SG
GS,is-visit,GSMEM,Very Likely To Play,Kelly Oubre,Kelly Oubre,SF
GS,is-visit,GSMEM,Very Likely To Play,Draymond Green,D. Green,PF
GS,is-visit,GSMEM,Very Likely To Play,Juan Toscano-Anderson,J. Toscano-Anderson,C
GS,is-visit,GSMEM,Unlikely To Play,Stephen Curry,S. Curry,G
GS,is-visit,GSMEM,Very Unlikely To Play,Kevon Looney,K. Looney,C
GS,is-visit,GSMEM,Very Unlikely To Play,Eric Paschall,E. Paschall,F
GS,is-visit,GSMEM,Very Unlikely To Play,James Wiseman,J. Wiseman,C
MEM,is-home,GSMEM,Very Likely To Play,Ja Morant,Ja Morant,PG
MEM,is-home,GSMEM,Very Likely To Play,Grayson Allen,Grayson Allen,SG
MEM,is-home,GSMEM,Very Likely To Play,Dillon Brooks,Dillon Brooks,SF
MEM,is-home,GSMEM,Very Likely To Play,Kyle Anderson,Kyle Anderson,PF
MEM,is-home,GSMEM,Very Likely To Play,Jonas Valanciunas,J. Valanciunas,C
MEM,is-home,GSMEM,Very Unlikely To Play,Jaren Jackson,J. Jackson,F
SA,is-visit,SAMIL,Very Likely To Play,Dejounte Murray,D. Murray,PG
SA,is-visit,SAMIL,Very Likely To Play,Derrick White,Derrick White,SG
SA,is-visit,SAMIL,Toss Up To Play,DeMar DeRozan,DeMar DeRozan,SF
SA,is-visit,SAMIL,Very Likely To Play,Keldon Johnson,K. Johnson,PF
SA,is-visit,SAMIL,Very Likely To Play,Jakob Poeltl,Jakob Poeltl,C
SA,is-visit,SAMIL,Very Likely To Play,Keita Bates-Diop,K. Bates-Diop,F
SA,is-visit,SAMIL,Very Unlikely To Play,LaMarcus Aldridge,L. Aldridge,C
MIL,is-home,SAMIL,Very Likely To Play,Jrue Holiday,Jrue Holiday,PG
MIL,is-home,SAMIL,Very Likely To Play,Donte DiVincenzo,D. DiVincenzo,SG
MIL,is-home,SAMIL,Very Likely To Play,Khris Middleton,K. Middleton,SF
MIL,is-home,SAMIL,Very Likely To Play,Giannis Antetokounmpo,G. Antetokounmpo,PF
MIL,is-home,SAMIL,Very Likely To Play,Brook Lopez,Brook Lopez,C
MIL,is-home,SAMIL,Very Likely To Play,Axel Toupane,A. Toupane,F
MIL,is-home,SAMIL,Toss Up To Play,Rodions Kurucs,R. Kurucs,F
CHA,is-visit,CHALAC,Very Likely To Play,LaMelo Ball,LaMelo Ball,PG
CHA,is-visit,CHALAC,Very Likely To Play,Terry Rozier,Terry Rozier,SG
